date,date_key,year,month,month_name,iso_week,shift,line,machine,product_family,operator_team,downtime_reason,planned_shift_minutes,planned_break_minutes,planned_production_time_minutes,unplanned_downtime_minutes,operating_time_minutes,ideal_cycle_time_seconds,total_count,defect_count,good_count,availability,performance,quality,oee,scrap_rate,downtime_rate,availability_percent,performance_percent,quality_percent,oee_percent,scrap_rate_percent,downtime_rate_percent,performance_over_100,data_quality_status,mes_correction_required,mes_correction_reason,source_row_id,calculated_planned_production_time_minutes,has_data_quality_error,has_data_quality_warning
2026-01-06,20260106,2026,1,Jan,2,Evening,Line 1,Wrapper 1,Cone,Team B,Breakdown,480,45,435,58,377,1.35,14987,759,14228,0.8666666666666667,0.894449602122016,0.9493561086274771,0.7359310344827587,0.050643891372522856,0.13333333333333333,86.66666666666667,89.4449602122016,94.93561086274771,73.59310344827587,5.064389137252285,13.333333333333334,False,Clean,False,,5,435,False,False
2026-01-06,20260106,2026,1,Jan,2,Morning,Line 1,Cartoner 1,Ice Cream Bar,Team C,Cleaning,480,45,435,54,381,1.15,18591,92,18499,0.8758620689655172,0.9352427821522309,0.9950513689419611,0.8150900383141761,0.004948631058038836,0.12413793103448276,87.58620689655172,93.52427821522309,99.50513689419611,81.50900383141762,0.4948631058038836,12.413793103448276,False,Clean,False,,1,435,False,False
2026-01-06,20260106,2026,1,Jan,2,Night,Line 1,Cartoner 1,Cup,Team B,Quality Hold,480,40,440,36,404,1.05,18673,871,17802,0.9181818181818182,0.808855198019802,0.9533551116585445,0.708034090909091,0.046644888341455575,0.08181818181818182,91.81818181818183,80.8855198019802,95.33551116585444,70.8034090909091,4.6644888341455575,8.181818181818182,False,Clean,False,,9,440,False,False
2026-01-06,20260106,2026,1,Jan,2,Morning,Line 2,Case Packer 2,Multipack,Team D,Breakdown,480,45,435,50,385,1.65,13024,447,12577,0.8850574712643678,0.9302857142857143,0.9656787469287469,0.7950977011494252,0.03432125307125307,0.11494252873563218,88.50574712643679,93.02857142857142,96.56787469287468,79.50977011494253,3.432125307125307,11.494252873563218,False,Clean,False,,2,435,False,False
2026-01-06,20260106,2026,1,Jan,2,Night,Line 2,Freezer 2,Multipack,Team B,Material Waiting,480,40,440,52,388,1.65,12317,394,11923,0.8818181818181818,0.8729832474226804,0.9680116911585613,0.7451875,0.03198830884143866,0.11818181818181818,88.18181818181819,87.29832474226804,96.80116911585614,74.51875,3.198830884143866,11.818181818181818,False,Clean,False,,10,440,False,False
2026-01-06,20260106,2026,1,Jan,2,Evening,Line 3,Case Packer 3,Cup,Team D,Cleaning,480,45,435,55,380,1.05,17518,486,17032,0.8735632183908046,0.8067500000000001,0.9722571069756821,0.6851954022988507,0.027742893024317844,0.12643678160919541,87.35632183908046,80.67500000000001,97.22571069756822,68.51954022988507,2.7742893024317845,12.643678160919542,False,Clean,False,,7,435,False,False
2026-01-06,20260106,2026,1,Jan,2,Morning,Line 3,Case Packer 3,Cup,Team B,Cleaning,480,45,435,33,402,1.05,20433,275,20158,0.9241379310344827,0.8894962686567165,0.9865413791415847,0.8109540229885058,0.013458620858415309,0.07586206896551724,92.41379310344827,88.94962686567165,98.65413791415847,81.09540229885059,1.3458620858415309,7.586206896551724,False,Clean,False,,3,435,False,False
2026-01-06,20260106,2026,1,Jan,2,Night,Line 3,Moulder 3,Multipack,Team A,Breakdown,480,40,440,49,391,1.65,13203,299,12904,0.8886363636363637,0.9285997442455242,0.9773536317503597,0.8064999999999999,0.022646368249640232,0.11136363636363636,88.86363636363637,92.85997442455242,97.73536317503597,80.64999999999999,2.264636824964023,11.136363636363637,False,Clean,False,,11,440,False,False
2026-01-06,20260106,2026,1,Jan,2,Evening,Line 4,Extruder 4,Cone,Team C,Breakdown,480,45,435,82,353,1.35,13577,386,13191,0.8114942528735632,0.8653895184135978,0.9715695661780953,0.682293103448276,0.02843043382190469,0.18850574712643678,81.14942528735632,86.53895184135978,97.15695661780953,68.2293103448276,2.8430433821904693,18.850574712643677,False,Clean,False,,8,435,False,False
2026-01-06,20260106,2026,1,Jan,2,Morning,Line 4,Extruder 4,Multipack,Team D,Changeover,480,45,435,87,348,1.65,10726,213,10513,0.8,0.8476005747126436,0.9801417117285102,0.6646149425287355,0.01985828827148984,0.2,80.0,84.76005747126436,98.01417117285102,66.46149425287355,1.985828827148984,20.0,False,Clean,False,,4,435,False,False
